n_samples,n_clusters,silhouette,calinski_harabasz,davies_bouldin,response_rate_variance,response_rates,auc,average_precision,f1,log_loss,brier,ece,accuracy,precision,recall,balanced_accuracy,specificity,support_pos,support_neg,lift_top20,split,label,model_type,expert_type,gating_type,lambda,gamma,temperature,use_global_expert,hybrid_alpha,budget_reweight_alpha
224.0,4,0.19904889325056946,76.39752615745269,1.8097455929737123,0.004744235611088169,"{0: 0.1076923076923077, 1: 0.2641509433962264, 2: 0.1232876712328767, 3: 0.09090909090909091}",0.8581627796287483,0.6558674134561637,0.631578947368421,0.35177917052420266,0.10311654485323953,0.13466073337515552,0.875,0.5581395348837209,0.7272727272727273,0.8138981437410757,0.900523560209424,33.0,191.0,3.62020202020202,val,rajc_ablation,ramoe,hgbdt,gmm,1.0,0.0,0.5,False,0.0,0.0
224.0,4,0.1798181518350661,73.07966979409002,1.9947993284937375,0.005074763068502483,"{0: 0.125, 1: 0.2641509433962264, 2: 0.12162162162162163, 3: 0.07317073170731707}",0.8489608123115976,0.6295634882794937,0.5915492957746479,0.3485915945206607,0.1048784144780245,0.11847692649066784,0.8705357142857143,0.5526315789473685,0.6363636363636364,0.7736792003807711,0.9109947643979057,33.0,191.0,3.469360269360269,val,rajc_ablation,ramoe,hgbdt,gmm,1.0,0.0,1.0,False,0.0,0.0
224.0,4,0.1798181518350661,73.07966979409002,1.9947993284937375,0.005074763068502483,"{0: 0.125, 1: 0.2641509433962264, 2: 0.12162162162162163, 3: 0.07317073170731707}",0.858480088846581,0.6434256774146512,0.5714285714285714,0.3459154663912426,0.10487744639327522,0.12305189343162111,0.8526785714285714,0.5,0.6666666666666666,0.7757417102966842,0.8848167539267016,33.0,191.0,3.3185185185185184,val,rajc_ablation,ramoe,hgbdt,gmm,1.0,0.0,2.0,False,0.0,0.0
224.0,4,0.1798181518350661,73.07966979409002,1.9947993284937375,0.005074763068502483,"{0: 0.125, 1: 0.2641509433962264, 2: 0.12162162162162163, 3: 0.07317073170731707}",0.844994447088688,0.6194778586383884,0.5526315789473685,0.3568105310809574,0.10955514510905126,0.12275303055553403,0.8482142857142857,0.4883720930232558,0.6363636363636364,0.760590195145169,0.8848167539267016,33.0,191.0,3.3185185185185184,val,rajc_ablation,ramoe,hgbdt,gmm,3.0,0.0,0.5,False,0.0,0.0
224.0,4,0.1798181518350661,73.07966979409002,1.9947993284937375,0.005074763068502483,"{0: 0.125, 1: 0.2641509433962264, 2: 0.12162162162162163, 3: 0.07317073170731707}",0.8554656512771697,0.6297188372635135,0.5974025974025974,0.34289388572038443,0.103347450144924,0.12246298856375312,0.8616071428571429,0.5227272727272727,0.696969696969697,0.7935110264953198,0.8900523560209425,33.0,191.0,3.469360269360269,val,rajc_ablation,ramoe,hgbdt,gmm,3.0,0.0,1.0,False,0.0,0.0
224.0,4,0.1798181518350661,73.07966979409002,1.9947993284937375,0.005074763068502483,"{0: 0.125, 1: 0.2641509433962264, 2: 0.12162162162162163, 3: 0.07317073170731707}",0.857607488497541,0.6543790501019116,0.5714285714285714,0.33626058274671927,0.10110060696378967,0.10574074401807931,0.8526785714285714,0.5,0.6666666666666666,0.7757417102966842,0.8848167539267016,33.0,191.0,3.3185185185185184,val,rajc_ablation,ramoe,hgbdt,gmm,3.0,0.0,2.0,False,0.0,0.0
224.0,5,0.12401332090364825,55.7401497332063,1.9491323428354828,0.009874679051901075,"{0: 0.2641509433962264, 1: 0.075, 2: 0.3333333333333333, 3: 0.125, 4: 0.1111111111111111}",0.832778042202126,0.6126049708664387,0.547945205479452,0.36118220378204197,0.11185653272459531,0.11819885864323788,0.8526785714285714,0.5,0.6060606060606061,0.7506742820878947,0.8952879581151832,33.0,191.0,3.1676767676767676,val,rajc_ablation,ramoe,hgbdt,gmm,0.0,0.0,0.5,False,0.0,0.0
224.0,5,0.13204845325421097,57.57481539455913,2.0841804352353708,0.006232935427004441,"{0: 0.2641509433962264, 1: 0.07692307692307693, 2: 0.25, 3: 0.10909090909090909, 4: 0.1076923076923077}",0.847850230049183,0.6307499244830542,0.5538461538461539,0.3290073505360824,0.09984175289543808,0.09067025777469166,0.8705357142857143,0.5625,0.5454545454545454,0.7360780580675869,0.9267015706806283,33.0,191.0,2.865993265993266,val,rajc_ablation,ramoe,hgbdt,gmm,0.0,0.0,1.0,False,0.0,0.0
224.0,5,0.13309856400786363,57.736755754982546,2.128979602588764,0.0051117092724242185,"{0: 0.2641509433962264, 1: 0.07692307692307693, 2: 0.21428571428571427, 3: 0.10909090909090909, 4: 0.1111111111111111}",0.8291289861970491,0.6216141161378469,0.5396825396825397,0.34436065004986116,0.1030814127508458,0.09668568502357085,0.8705357142857143,0.5666666666666667,0.5151515151515151,0.7235443439631921,0.9319371727748691,33.0,191.0,3.0168350168350164,val,rajc_ablation,ramoe,hgbdt,gmm,0.0,0.0,2.0,False,0.0,0.0
224.0,5,0.13204845325421097,57.57481539455913,2.0841804352353708,0.006232935427004441,"{0: 0.2641509433962264, 1: 0.07692307692307693, 2: 0.25, 3: 0.10909090909090909, 4: 0.1076923076923077}",0.8321434237664603,0.5861051103286667,0.5970149253731343,0.3413391491416423,0.10207177189342158,0.09462722795251415,0.8794642857142857,0.5882352941176471,0.6060606060606061,0.7663810883706172,0.9267015706806283,33.0,191.0,3.0168350168350164,val,rajc_ablation,ramoe,hgbdt,gmm,0.1,0.0,0.5,False,0.0,0.0
224.0,5,0.13204845325421097,57.57481539455913,2.0841804352353708,0.006232935427004441,"{0: 0.2641509433962264, 1: 0.07692307692307693, 2: 0.25, 3: 0.10909090909090909, 4: 0.1076923076923077}",0.822624147231477,0.5868760307398848,0.5074626865671642,0.35550600161188306,0.10776553807812202,0.10642547312891518,0.8526785714285714,0.5,0.5151515151515151,0.7130731397747104,0.9109947643979057,33.0,191.0,2.865993265993266,val,rajc_ablation,ramoe,hgbdt,gmm,0.1,0.0,1.0,False,0.0,0.0
224.0,5,0.13309856400786363,57.736755754982546,2.128979602588764,0.0051117092724242185,"{0: 0.2641509433962264, 1: 0.07692307692307693, 2: 0.21428571428571427, 3: 0.10909090909090909, 4: 0.1111111111111111}",0.8281770585435506,0.6215778498859592,0.5538461538461539,0.3441230846064562,0.1026051968626174,0.10401902264290643,0.8705357142857143,0.5625,0.5454545454545454,0.7360780580675869,0.9267015706806283,33.0,191.0,3.0168350168350164,val,rajc_ablation,ramoe,hgbdt,gmm,0.1,0.0,2.0,False,0.0,0.0
224.0,5,0.13204845325421097,57.57481539455913,2.0841804352353708,0.006232935427004441,"{0: 0.2641509433962264, 1: 0.07692307692307693, 2: 0.25, 3: 0.10909090909090909, 4: 0.1076923076923077}",0.8343645882912898,0.5879986901320741,0.5970149253731343,0.3384388813552464,0.10115686800004507,0.09246636881157826,0.8794642857142857,0.5882352941176471,0.6060606060606061,0.7663810883706172,0.9267015706806283,33.0,191.0,3.0168350168350164,val,rajc_ablation,ramoe,hgbdt,gmm,0.3,0.0,0.5,False,0.0,0.0
224.0,5,0.13518270253243433,58.0730162372899,2.1187686709811953,0.004777248720612208,"{0: 0.2641509433962264, 1: 0.07692307692307693, 2: 0.2, 3: 0.10909090909090909, 4: 0.11290322580645161}",0.8197683642709821,0.6148928884087788,0.5373134328358209,0.3495037275113555,0.1044792524235669,0.10657453705016402,0.8616071428571429,0.5294117647058824,0.5454545454545454,0.730842455973346,0.9162303664921466,33.0,191.0,3.0168350168350164,val,rajc_ablation,ramoe,hgbdt,gmm,0.3,0.0,1.0,False,0.0,0.0
224.0,5,0.13518270253243433,58.0730162372899,2.1187686709811953,0.004777248720612208,"{0: 0.2641509433962264, 1: 0.07692307692307693, 2: 0.2, 3: 0.10909090909090909, 4: 0.11290322580645161}",0.8357924797715374,0.6248253862857412,0.5454545454545454,0.33574985869598006,0.10000541791753559,0.09135490093209192,0.8660714285714286,0.5454545454545454,0.5454545454545454,0.7334602570204665,0.9214659685863874,33.0,191.0,2.865993265993266,val,rajc_ablation,ramoe,hgbdt,gmm,0.3,0.0,2.0,False,0.0,0.0
224.0,5,0.13204845325421097,57.57481539455913,2.0841804352353708,0.006232935427004441,"{0: 0.2641509433962264, 1: 0.07692307692307693, 2: 0.25, 3: 0.10909090909090909, 4: 0.1076923076923077}",0.8278597493257178,0.592119484736096,0.5970149253731343,0.34267082420290845,0.10254385287431764,0.09599110788057005,0.8794642857142857,0.5882352941176471,0.6060606060606061,0.7663810883706172,0.9267015706806283,33.0,191.0,3.0168350168350164,val,rajc_ablation,ramoe,hgbdt,gmm,1.0,0.0,0.5,False,0.0,0.0
224.0,5,0.13518270253243433,58.0730162372899,2.1187686709811953,0.004777248720612208,"{0: 0.2641509433962264, 1: 0.07692307692307693, 2: 0.2, 3: 0.10909090909090909, 4: 0.11290322580645161}",0.8365857528161194,0.6163144126438158,0.5454545454545454,0.34083731215779517,0.10283813019701217,0.09915714875326996,0.8660714285714286,0.5454545454545454,0.5454545454545454,0.7334602570204665,0.9214659685863874,33.0,191.0,2.865993265993266,val,rajc_ablation,ramoe,hgbdt,gmm,1.0,0.0,1.0,False,0.0,0.0
224.0,5,0.13518270253243433,58.0730162372899,2.1187686709811953,0.004777248720612208,"{0: 0.2641509433962264, 1: 0.07692307692307693, 2: 0.2, 3: 0.10909090909090909, 4: 0.11290322580645161}",0.8396001903855307,0.6215279115696895,0.5538461538461539,0.3378357092399266,0.10210922077395199,0.09506542327633481,0.8705357142857143,0.5625,0.5454545454545454,0.7360780580675869,0.9267015706806283,33.0,191.0,3.0168350168350164,val,rajc_ablation,ramoe,hgbdt,gmm,1.0,0.0,2.0,False,0.0,0.0
